beersking.csv,name,url,introduction_title,introduction_text,pass
1,CREW Republic「HOP JUNKIE」,https://www.craftbeer-times.com/crewrepublic-hop-junkie//,CREW Republic「HOP JUNKIE」ホップの香りにクラクラする！ドリンカブルすぎて飲みすぎ注意なセッションIPA,キレのあるドライな飲み心地、華やかでバラエティ豊かなホップの香り、低アルコールでとても飲みやすい,https://www.craftbeer-times.com/wp-content/uploads/2020/06/crewrepublic-hop-junkie.jpg
2,ヴァイエンステファン「ヘフヴァイス」,https://www.craftbeer-times.com/weihwnstephaner-hefe-weiss//,ヴァイエンステファン「ヘフヴァイス」世界最古の醸造所の風格あるヘーフェヴァイツェン,世界最古の醸造所のビール！非常に豊かでクリーミーな泡、優しく甘いバナナの風味,https://www.craftbeer-times.com/wp-content/uploads/2020/06/weihwnstephaner-hefe-weiss.jpg.webp
3,うちゅうブルーイング「JUPITER」,https://www.craftbeer-times.com/uchubrewing-jupiter//,うちゅうブルーイング「JUPITER」上品なホップの香りと確かなコクを感じる爽快なイタリアンピルスナー,ドイツ式のピルスナーにドイツ産のホップをふんだんに使ったイタリアンピルスナー、溢れるホップの華やかな香り、味わい深くもクリスピーで飲みやすい,https://www.craftbeer-times.com/wp-content/uploads/2020/06/uchu-jupiter.jpg.webp
4,カンティヨン「グーズ」,https://www.craftbeer-times.com/cantillon-gueuze//,カンティヨン「グーズ」伝統を守り続ける成熟した正統派ランビック,ランビックならではの強烈な酸味！、酸味の奥にある旨味、香ばしくもフルーティーな複雑なアロマ,https://www.craftbeer-times.com/wp-content/uploads/2020/06/cantillon-gueuze.jpg.webp
5,フラーズ「ロンドンポーター」,https://www.craftbeer-times.com/fullers-london-porter//,フラーズ「ロンドンポーター」気分はまるでロンドンの運び屋？芳醇でなめらかな伝統的なポーター,まろやかで優しい口当たり、コーヒーや煮出した濃いお茶の様な香り、ドライで飲み飽きしないパブのエール,https://www.craftbeer-times.com/wp-content/uploads/2020/06/fullers-london-porter.jpg
6,Smog City IPA,https://www.craftbeer-times.com/smog-city-brewing-ipa//,Smog City IPA クラフトビールの聖地カリフォルニアのブルワリーの看板商品！,Smog City Brewingの看板商品、ホップが印象強いウェストコーストIPA、日本国内では2018年12月から輸入販売されている,https://www.craftbeer-times.com/wp-content/uploads/2020/06/smogcity-ipa.jpg.webp
7,CREW Republic「DRUNKEN SAILOR」,https://www.craftbeer-times.com/crewrepublic-drunken-sailor//,CREW Republic「DRUNKEN SAILOR」ラガー大国ドイツから生まれた濃厚で爽快なアメリカンIPA！,オールドスクールなアメリカンIPA、モルトとホップの濃厚な風味と味わい、強烈な味わいなのに後引かない飲みやすさ,https://www.craftbeer-times.com/wp-content/uploads/2020/05/crewrepublic-drunken-sailor.jpg.webp
8,遠野醸造「ペールエール」,https://www.craftbeer-times.com/tonobrewing-pale-ale//,遠野醸造「ペールエール」豊かな香りでドリンカブルなホップの里のペールエール,遠野醸造人気No.1のビール、柑橘やトロピカルフルーツ、ハーブの豊かなホップの香り、非常に軽やかでドリンカブルな味わい,https://www.craftbeer-times.com/wp-content/uploads/2020/05/tonobrewing-pale-ale.jpg.webp
9,BALLAST POINT BREWING「FATHOM IPA 」,https://www.craftbeer-times.com/ballast-point-brewing-fathom-ipa//,BALLAST POINT BREWING「FATHOM IPA 」ドリンカブルなウェストコーストIPA,オーソドックスなウェストコーストIPA、モルトの甘味とオレンジのような柑橘香、IPA入門にもオススメ,https://www.craftbeer-times.com/wp-content/uploads/2020/05/fathom-ipa.jpg.webp
10,フランツィスカーナー「ヴァイスビール クリスタル」,https://www.craftbeer-times.com/franziskaner-weissbier-kristallklar//,フランツィスカーナー「ヴァイスビール クリスタル」黄金色に輝くクリアな仕上がりのクリスタルヴァイツェン,濁りのないクリアな外観、おとなしめなバナナとヨーグルトのような香り、すっきり爽やかな味わい,https://www.craftbeer-times.com/wp-content/uploads/2020/05/franziskaner-weissbier-kristallklar.jpg
11,反射炉ビヤ「早雲」,https://www.craftbeer-times.com/hansyarobeer-souun//,反射炉ビヤ「早雲」弾けるアメリカンホップの香り！飲み心地のいいバランスのとれたペールエール,軽やかでなめらかな口当たり、アメリカンホップの豊かな香り、甘味と苦みのちょうどいいバランス,https://www.craftbeer-times.com/wp-content/uploads/2020/05/hansyarobeer-souun.jpg.webp
12,フラーズ「ESB」,https://www.craftbeer-times.com/fullers-esb//,フラーズ「ESB」モルトの力強い風味とコク！イギリスを代表するビターエール,クリアに澄んだ琥珀色の綺麗な見た目、モルトの凝縮感のある甘い香り、コクのあるスムーズな味わい,https://www.craftbeer-times.com/wp-content/uploads/2020/05/fullers-esb.jpg.webp
13,デュポン醸造所「セゾンデュポン」,https://www.craftbeer-times.com/saison-dupont//,デュポン醸造所「セゾンデュポン」世界中のブルワリーが認めた歴史あるセゾン,世界が認めるセゾンの元祖、フルーティーで小麦の香ばしさが感じられる香り、とても爽やかで飲みやすい,https://www.craftbeer-times.com/wp-content/uploads/2020/05/saison-dupont.jpg.webp
14,エチゴビール「麗醸 」,https://www.craftbeer-times.com/echigo-reijyou//,エチゴビール「麗醸 」コスパ抜群の本格的なピルスナー,比較的安い価格、それでいて安っぽさは全く感じない香りと味わい、麦芽とホップのみで作られた高品質で本格的なボヘミアンピルスナー,https://www.craftbeer-times.com/wp-content/uploads/2020/05/echigo-reigyou.jpg.webp
15,反射炉ビヤ「ど根性IPA」,https://www.craftbeer-times.com/hansyarobeer-dokonjoh-ipa//,反射炉ビヤ「ど根性IPA」超複雑な香り！バーボン樽で熟成したリッチなインペリアルIPA,バーボンウイスキー樽で熟成したIPA、熟したフルーツやバニラなどの複雑な香り、ハイアルコールで満足感のあるリッチな味わい,https://www.craftbeer-times.com/wp-content/uploads/2020/05/hansyaro-dokonjoh-ipa.jpg.webp
16,反射炉ビヤ「頼朝」,https://www.craftbeer-times.com/hansharobeer-yoritomo//,反射炉ビヤ「頼朝」チョコレートやココアのような甘苦さが心地よいクラシックなポーター,黒ビールらしいチョコレートやココアの香り、さらっとした程よい甘さ、飲みやすさとコクの両立,https://www.craftbeer-times.com/wp-content/uploads/2020/05/hansharo-yoritomo.jpg.webp
